domain,url,first_seen,label,source,seen_in_urlhaus,seen_in_openphish
github.com,https://github.com/1nterryluv/FortniteSpoofer/raw/refs/heads/main/TempSpoofer.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
201.143.52.186,http://201.143.52.186:8080/sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
125.47.35.106,http://125.47.35.106:37134/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
5.230.55.224,http://5.230.55.224/tenda.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
2.55.90.62,http://2.55.90.62:802/sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
89.228.12.82,http://89.228.12.82:62605/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
114.132.185.158,http://114.132.185.158:8888/WxWorkApis.dll,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
115.178.100.190,http://115.178.100.190:4788/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
191.241.143.11,http://191.241.143.11:40733/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
wp.grovespras.com,https://wp.grovespras.com/bin/support.client.exe?i=&e=Support&y=Guest&r=,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
78-20-115-5.access.telenet.be,http://78-20-115-5.access.telenet.be/Photo.scr,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
123.207.73.161,http://123.207.73.161:8888/WxWorkApis.dll,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
dl.asis.io,http://dl.asis.io/mZ5qeAPM.hta,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
8.134.74.227,http://8.134.74.227/gg4.hta,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
216.224.116.74,http://216.224.116.74/csk_arm5,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
static.ilclock.com,http://static.ilclock.com/gcld/updates_tw/gcmgr_tw.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
196.251.69.129,http://196.251.69.129/z/89/x86,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
103.36.124.224,http://103.36.124.224:1105/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
chat-server.maverickpreviews.com,https://chat-server.maverickpreviews.com/teachable.php,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
disk.accord1key.cn,http://disk.accord1key.cn/txdown_disk/%E8%BD%AF%E4%BB%B6%E4%BD%BF%E7%94%A8/%E7%BC%BA%E5%A4%B1%E4%B8%8B%E8%BD%BD/plugin.dll,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
86.106.155.155,http://86.106.155.155:8081/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
augsburg-auto.com,http://augsburg-auto.com/BV5eh1IerP/,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
4393eb8c.solaraweb-alj.pages.dev,https://4393eb8c.solaraweb-alj.pages.dev/download/static/files/BootstrapperNew.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
213.96.13.100,http://213.96.13.100:10094/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
82.114.200.50,http://82.114.200.50:48416/.i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
193.233.48.248,http://193.233.48.248/Documents/Stgna.pdf.lnk,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
124.133.175.107,http://124.133.175.107:53347/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
31.28.31.6,http://31.28.31.6:50871/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
qemwmbjvxwa0wjtjz5t.vision-bqtt.com,https://qemwmbjvxwa0wjtjz5t.vision-bqtt.com/_req11doc/?email=3mail@b.c,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
64.188.8.180,http://64.188.8.180/iot.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
68d0aad15c7987e08f84fa31--frabjous-moxie-bb5949.netlify.app,http://68d0aad15c7987e08f84fa31--frabjous-moxie-bb5949.netlify.app/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
94.244.113.217,http://94.244.113.217:53408/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
sanhack.com,https://sanhack.com/storage/files/9/%E2%AB%B8%EC%A0%9C%ED%92%88%EC%82%AC%EC%9A%A9%EC%A0%84%20%ED%95%84%EC%88%98%EC%85%8B%ED%8C%85%E2%AB%B7.zip,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
37.255.217.87,http://37.255.217.87:32902/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
216.188.216.17,http://216.188.216.17:54983/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
115.55.234.13,http://115.55.234.13:44194/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
36.64.202.57,http://36.64.202.57:21596/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
