domain,url,first_seen,label,source
221.1.224.168,http://221.1.224.168:36726/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.58.118.86,http://42.58.118.86:58667/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
60.18.108.160,http://60.18.108.160:36428/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.41.92.127,http://125.41.92.127:39955/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.57.116.167,http://115.57.116.167:52618/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
180.191.32.197,http://180.191.32.197:39906/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.57.83.233,http://115.57.83.233:34477/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.55.176.221,http://115.55.176.221:45587/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.137.198.85,http://222.137.198.85:34918/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.121.95.23,http://182.121.95.23:44235/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.224.28.195,http://42.224.28.195:37826/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
39.87.31.66,http://39.87.31.66:58230/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
14.212.192.63,http://14.212.192.63:46961/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
188.38.3.30,http://188.38.3.30:53984/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.238.44.20,http://42.238.44.20:36261/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.6.33.116,http://42.6.33.116:43303/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.85.196,http://200.59.85.196:57699/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.239.169.237,http://42.239.169.237:36585/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.126,http://200.59.88.126:40603/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.116.117.125,http://182.116.117.125:36828/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
112.229.195.109,http://112.229.195.109:41548/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
27.215.53.123,http://27.215.53.123:37415/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.177.198.173,http://42.177.198.173:35128/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.224.6.108,http://42.224.6.108:46049/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.40.147.204,http://125.40.147.204:56830/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.228.33.144,http://42.228.33.144:39171/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
119.186.204.128,http://119.186.204.128:38855/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.126.89.236,http://182.126.89.236:59820/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.137.194.26,http://222.137.194.26:43035/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.113.32.202,http://182.113.32.202:37435/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
60.16.191.59,http://60.16.191.59:48565/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
116.138.188.120,http://116.138.188.120:59794/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.56.57.144,http://115.56.57.144:60325/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.138.116.33,http://222.138.116.33:52059/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
216.244.203.24,http://216.244.203.24:49460/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
27.37.106.249,http://27.37.106.249:52057/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.131,http://200.59.88.131:44145/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
219.157.173.232,http://219.157.173.232:39331/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
87.248.139.217,http://87.248.139.217/hiddenbin/boatnet.mips,2025-09-21 00:00:00+00:00,malware_download,urlhaus
180.249.78.61,http://180.249.78.61:54611/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
121.127.34.118,http://121.127.34.118/huhu/titanjr.spc,2025-09-21 00:00:00+00:00,malware_download,urlhaus
196.251.118.144,http://196.251.118.144/hiddenbin/boatnet.sh4,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.49.64.197,http://115.49.64.197:42540/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
119.99.182.223,http://119.99.182.223:57499/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.224.169.103,http://42.224.169.103:52356/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.58.216.166,http://42.58.216.166:56603/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
120.28.197.166,http://120.28.197.166:54883/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.84.132,http://200.59.84.132:42608/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
110.37.121.204,http://110.37.121.204:39664/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
113.238.188.48,http://113.238.188.48:43089/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
39.89.148.29,http://39.89.148.29:42856/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
stteresaagency.com,https://stteresaagency.com/mac/stl,2025-09-21 00:00:00+00:00,malware_download,urlhaus
wl.steelkendo.com,https://wl.steelkendo.com/ewsqUl/18092.txt,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.84.52,http://200.59.84.52:34737/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
62.60.226.168,http://62.60.226.168/public_files/test.jpg?12711313,2025-09-21 00:00:00+00:00,malware_download,urlhaus
tqfnwgq.com,https://tqfnwgq.com/dc0dEso5cbCyHoL/16.bin,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.235.48.52,http://42.235.48.52:35792/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
mail.middleofearth.kz,http://mail.middleofearth.kz/fd/ssleay32.dll,2025-09-21 00:00:00+00:00,malware_download,urlhaus
120.48.50.33,http://120.48.50.33:8888/02.08.2022.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus
178.16.54.200,http://178.16.54.200/files/5666444957/x0q5424.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.190.127.112,http://115.190.127.112:83/02.08.2022.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus
